Date,Affected pages
2026-06-05,15
2026-06-06,15
2026-06-07,15
2026-06-08,15
2026-06-09,15
2026-06-10,15
2026-06-11,15
2026-06-12,15
2026-06-13,15
2026-06-14,15
2026-06-15,15
2026-06-16,15
2026-06-17,15
2026-06-18,15
2026-06-19,15
2026-06-20,15
2026-06-21,15
2026-06-22,15
2026-06-23,15
2026-06-24,15
2026-06-25,15
2026-06-26,15
2026-06-27,15
2026-06-28,15
2026-06-29,15
2026-06-30,15
2026-07-01,14
2026-07-02,14
2026-07-03,14
2026-07-04,14
2026-07-05,14
2026-07-06,14
2026-07-07,14
2026-07-08,14
2026-07-09,14
2026-07-10,14
2026-07-11,14
2026-07-12,14
2026-07-13,14
2026-07-14,14
2026-07-15,14
2026-07-16,14
2026-07-17,14
2026-07-18,14
2026-07-19,14
2026-07-20,14
2026-07-21,14
2026-07-22,14
2026-07-23,14
2026-07-24,14
2026-07-25,14
2026-07-26,14
2026-07-27,14
2026-07-28,14
2026-07-29,14
2026-07-30,14
2026-07-31,14
2026-08-01,14
2026-08-02,14
2026-08-03,14
2026-08-04,14
2026-08-05,14
2026-08-06,14
2026-08-07,14
2026-08-08,14
2026-08-09,14
2026-08-10,14
2026-08-11,14
2026-08-12,14
2026-08-13,14
2026-08-14,14
2026-08-15,14
2026-08-16,14
2026-08-17,14
2026-08-18,14
2026-08-19,14
2026-08-20,14
2026-08-21,14
