URL,Last crawled
https://www.unrealshot.com/use-case/dating-photos,2026-08-19 - dont know what ot do with this use-case slug
https://www.unrealshot.com/,2026-08-16
https://www.unrealshot.com/blog,2026-08-13
https://www.unrealshot.com/pricing,2026-08-01
https://www.unrealshot.com/blog/how-to-create-a-professional-ai-headshot-in-2025,2026-07-25 - 410
https://www.unrealshot.com/blog/best-aragon-ai-alternatives-in-2025,2026-07-21 - 410
https://www.unrealshot.com/about,2026-07-21
https://www.unrealshot.com/privacy-policy,2026-07-16
https://www.unrealshot.com/refund-policy,2026-07-13 
https://www.unrealshot.com/blog/ai-headshots-vs-professional-photographer-pros-and-cons,2026-07-05 - 410
https://www.unrealshot.com/terms,2026-07-03 
https://www.unrealshot.com/blog/the-best-ai-headshot-generators-of-2026,2026-06-30 - 410
https://www.unrealshot.com/use-case/couple-photos,2026-06-18 - 410
https://www.unrealshot.com/use-case/creative-headshots,2026-05-30 - 410
